username, created_at, lng, lat, text
ChadMJordan23, Fri Apr 24 04:12:26 +0000 2020, -97.011168, 32.655678, @Terryisbetter Huh. 
joanngnzlz, Fri Apr 24 04:12:26 +0000 2020, -95.446486, 29.838495, @JuarezAnsel how dare u. 
HotHonduran, Fri Apr 24 04:12:26 +0000 2020, -84.244594, 39.801271, No one has been called anytime of night to knock on my door.Get arrested 
koufax1963, Fri Apr 24 04:12:26 +0000 2020, -80.274282, 26.097542, @Rich_Hammond 😢😢would have loved him!!! Dang it 
mikemcvayii, Fri Apr 24 04:12:26 +0000 2020, -79.540930, 40.305028, @TBev13 @iamdouglasFLP “Bro young boy just dropped, leave me alone” -  @iamdouglasFLP 
sullympls, Fri Apr 24 04:12:26 +0000 2020, -93.262046, 44.970610, @ColeRoberge There’s still time 
sofiairiss, Fri Apr 24 04:12:26 +0000 2020, -96.761753, 32.819858, @_samnicole_ Yes you do!!!! WTF 
ralphamsden, Fri Apr 24 04:12:26 +0000 2020, -112.012265, 33.058496, There’s also truckload of evidence that they do. People definitely see what they want to see when it comes to star… https://t.co/jd4a01W7hi 
brittanysmithh4, Fri Apr 24 04:12:26 +0000 2020, -122.595742, 45.345124, @Max_Delash RB: JK DOBBINS 
718Shaun, Fri Apr 24 04:12:27 +0000 2020, -74.066663, 40.718001, @Jehwauhn They didn’t ask who they were speaking to first? 
ChiefsFan_Tyler, Fri Apr 24 04:12:27 +0000 2020, -92.342322, 34.721886, @DaFisher9 Would rather a corner there but dude can catch. 
JoeLowry12, Fri Apr 24 04:12:27 +0000 2020, -86.876214, 30.424392, @occupied_stall Shaky 
thashark316, Fri Apr 24 04:12:27 +0000 2020, -95.393388, 29.484659, Andy Reid just got him another Brian Westbrook 
destinyjlt, Fri Apr 24 04:12:27 +0000 2020, -118.411907, 34.020789, put me on some country music folks ... ⬇️ 
grindsohardd28, Fri Apr 24 04:12:27 +0000 2020, -84.266174, 30.476216, SEC with 14 First Round Picks in the 2020 NFL Draft🔥👏🏽 Toughest Conference , Hands Down 💯 #SEC #NFL #NFLDraft 
shadyjody, Fri Apr 24 04:12:27 +0000 2020, -100.076888, 31.168893, Like this for a tbh 
ninerpride66, Fri Apr 24 04:12:27 +0000 2020, -112.462861, 40.592501, @THE2ERA welcome my man!! U fit right in can’t wait to see u 
ClaireHKU_Fan, Fri Apr 24 04:12:27 +0000 2020, -118.918886, 34.188478, IT IS OFFICIALLY OUT NOW 🌈🎞🎶!!! @KeithUrban Polaroid https://t.co/0CGQXnjfKQ via @youtubemusic 
Steve32035635, Fri Apr 24 04:12:27 +0000 2020, -81.393653, 28.664804, @theestallion Beautiful 
Michelle1321_, Fri Apr 24 04:12:27 +0000 2020, -87.732013, 41.833585, Buying myself a ring. I used to have rings on each finger lbs 
DeboraMikhail, Fri Apr 24 04:12:27 +0000 2020, -81.367773, 28.501678, Mais uma #ForaBabu 
alliefxnB, Fri Apr 24 04:12:27 +0000 2020, -106.026119, 34.166235, So I was talking to oomf today &amp; said “Yeah look at all you “LiFeS a RiSk cArNaL” idiots all scared by carona.” ann… https://t.co/foYGnjlQrT 
Hanka_Ta_Planka, Fri Apr 24 04:12:27 +0000 2020, -94.675094, 38.931549, That’s literally the opposite of what I asked for but please just draft a CB tomorrow 
